Etablissement,Ville,Département,Sélectif,Type de formation,Filière sélectionnée
Lycée Le Castel,Dijon,21.0,True,BTS,Services informatiques aux organisations
Avignon Université,Avignon,84.0,False,Licence_Las,Droit
Sciences Po - campus de Menton - Institut d'études politiques,Menton,6.0,True,Autre formation,"Campus de Menton, Bachelor de Sciences Po, The Mediterranean and the Middle East regions Minor"
Sciences Po - campus de Poitiers - Institut d'études politiques,Poitiers,86.0,True,Autre formation,"Campus de Poitiers, Bachelor de Sciences Po, Mineure Amérique latine - Caraïbes"
EDC Paris BS,Puteaux,92.0,True,Ecole de Commerce,Formation des écoles de commerce et de management Bac + 5
ESSEC Campus de Rabat,RABAT-SALE,99.0,True,Ecole de Commerce,Formation des écoles de commerce et de management Bac + 4
European Business School Paris,Paris 15e  Arrondissement,75.0,True,Ecole de Commerce,Formation des écoles de commerce et de management Bac + 5
Université Grenoble Alpes,Saint-Martin-d'Hères,38.0,False,Licence_Las,Mathématiques et informatique appliquées aux sciences humaines et sociales (MIASHS)
Lycée agricole Viticole,Beaune,21.0,True,BTS,Viticulture-Oenologie
Nantes Université,Nantes,44.0,False,Licence,Sciences de la vie et de la terre
Lycée La Perseverance,Les Abymes,971.0,True,BTS,Communication
Lycée Gustave Eiffel,Dijon,21.0,True,CPGE,Prépa ENS Paris-Saclay
Lycée Thiers,Marseille  1er Arrondissement,13.0,True,CPGE,MP2I
Université de Tours,Tours,37.0,True,Licence,Licence Franco-Allemande (LFA)
Ecole d'économie et de sciences sociales quantitatives - TSE,Toulouse,31.0,False,Licence_Las,parcours Economie
Lycée Faidherbe,Lille,59.0,True,CPGE,MP2I
Lycée Gustave Eiffel,Dijon,21.0,True,BTS,"Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux"
Lycée Fénelon Sainte-Marie,Paris  8e  Arrondissement,75.0,True,CPGE,MP2I
Université de Reims Champagne-Ardenne,Reims,51.0,False,Licence_Las,Psychologie
Lycée saint bénigne,Dijon,21.0,True,BTS,Gestion des transports et logistique associée
Université Claude Bernard Lyon 1,Villeurbanne,69.0,False,Licence_Las,Sciences pour la santé
Lycée saint bénigne,Dijon,21.0,True,BTS,Négociation et digitalisation de la Relation Client
Institut Supérieur de Commerce Paris - Campus d'Orléans,Orléans,45.0,True,Ecole de Commerce,Bachelor en management
Institut Lyfe,Ecully,69.0,True,Autre formation,"Bachelor Management International des Arts Culinaires, parcours en anglais"
Lycée saint bénigne,Dijon,21.0,True,Autre formation,Diplôme de Comptabilité et de Gestion
Université Paris Cité,Paris  6e  Arrondissement,75.0,False,Licence_Las,Physique
Université de Franche-Comté - Site de Besançon,Besançon,25.0,False,Licence,"Double diplôme franco-italien : Développement International des Entreprises, en partenariat avec l'Université de Trente"
Université Paris Cité,Paris  6e  Arrondissement,75.0,False,Licence_Las,Sciences Economiques et Sociales
Lycée agricole Dijon-Quetigny,Quetigny,21.0,True,BTS,Aménagements paysagers
Université Gustave Eiffel,Champs-sur-Marne,77.0,False,Licence_Las,Mathématiques-Informatique
I.U.T de Dijon,Dijon,21.0,True,BUT,Métiers du multimédia et de l'internet
UCLy Alpes-Europe,Annecy,74.0,True,Licence,Double diplôme Licence de Droit + Diplôme Universitaire Common Law
La Rochelle Université,La Rochelle,17.0,True,Autre formation,DU PAREO
I.U.T de Dijon,Dijon,21.0,True,BUT,Information communication Parcours métiers du livre et du patrimoine
Université de Montpellier,Montpellier,34.0,False,Licence,Licence - physique/chimie/sciences de l'ingénieur (PCSI) - option Kinésithérapie
Lycée agricole Felix Kir,Plombières-lès-Dijon,21.0,True,BTS,"QUalité, ALimentation, Innovation et Maîtrise Sanitaire (BioQUALIM) aliments et processus technologiques"
Université de Bourgogne - site de Dijon,Dijon,21.0,True,Autre formation,"Parcours Animation, activités sportives, loisirs et gestion de structures"
EXCELIA - Campus d'Orléans,Orléans,45.0,True,Ecole de Commerce,BACHELOR BUSINESS
Lycée Raspail,Paris 14e  Arrondissement,75.0,True,BTS,Electrotechnique
Lycée français Descartes,Rabat,99.0,True,CPGE,ECG - Mathématiques appliquées + ESH
Institut d'études politiques de Paris - Sciences Po,Paris  7e  Arrondissement,75.0,True,Licence,Sciences et Sciences sociales / Spécialité Sciences de la Vie
Unité de Formation et de Recherche de Sciences de l' Université de Versailles Saint Quentin en Yvelines,Versailles,78.0,False,Licence_Las,Mathématiques Physique Chimie (MPC)
Université Paris Cité,Paris  6e  Arrondissement,75.0,False,Licence_Las,Mathématiques et informatique appliquées aux sciences humaines et sociales
Université de Bourgogne - site de Dijon,Dijon,21.0,False,Licence,Métiers des langues - Anglais
Université Paris 1 Panthéon Sorbonne,Paris  5e  Arrondissement,75.0,False,Licence,Préparatoire au Professorat des Ecoles (PPPE)
Université de Guyane,Cayenne,973.0,False,Licence,Préparatoire au Professorat des Ecoles (PPPE)
Université Paris Cité,Paris  6e  Arrondissement,75.0,False,Licence_Las,Mathématiques
IPC-Facultés Libres de Philosophie et de Psycholog,Paris 14e  Arrondissement,75.0,True,Licence,Double licence Philosophie - Psychologie
Université de Bourgogne - site de Dijon,Dijon,21.0,False,Licence,Aménagement – environnement / Métiers de l'enseignement
PROJET PROFESSIONNEL PLUS,Cayenne,973.0,True,IFSI,D.E Psychomotricien
Université de Perpignan Via Domitia,Perpignan,66.0,False,Licence,Préparatoire au Professorat des Ecoles (PPPE)
Institut national universitaire Champollion - Campus de Rodez,Rodez,12.0,False,Licence,Parcours Droit Gestion
Université de Bourgogne - site de Dijon,Dijon,21.0,False,Licence,Economie
Lycée Le Corbusier,Poissy,78.0,True,Autre formation,Spécialité : Recherche Matière et croisement des savoir-faire
Lycée Les Marcs D'Or,Dijon,21.0,True,BTS,Bâtiment
Ecole Ferrandi Paris Campus de Rennes,Rennes,35.0,True,Autre formation,Bachelor Arts culinaires et entrepreneuriat / Option Cuisine
Lycée De La Fontaine Des Eaux,Dinan,22.0,True,BTS,"Fluide, énergie, domotique - option B froid et conditionnement d'air"
GAMBETTA CARNOT,Arras,62.0,True,CPGE,ECG - Mathématiques appliquées + HGG
Lycée De La Fontaine Des Eaux,Dinan,22.0,True,BTS,Gestion de la PME
Lycée De La Fontaine Des Eaux,Dinan,22.0,True,BTS,Comptabilité et gestion
Lycée Felix Le Dantec,Lannion,22.0,True,BTS,"Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux"
Lycée Felix Le Dantec,Lannion,22.0,True,BTS,Electrotechnique
IBSAC (Ecole secondaire professionnelle privée),Brive-la-Gaillarde,19.0,True,BTS,Comptabilité et gestion
Lycée Ernest Renan,Saint-Brieuc,22.0,True,CPGE,Lettres
Lycée professionnel Antoine,Chenôve,21.0,True,BTS,Management opérationnel de la sécurité
Lycée professionnel Frederic Mistral,Marseille  8e  Arrondissement,13.0,True,BTS,Maintenance des véhicules option voitures particulières
Lycée professionnel Gambetta,Aix-en-Provence,13.0,True,BTS,Négociation et digitalisation de la Relation Client
Lycée Ernest Renan,Saint-Brieuc,22.0,True,BTS,Tourisme
Lycée professionnel Pierre Bérégovoy,Fourchambault,58.0,True,BTS,Motorisations toutes énergies
Lycée Stanislas,Cannes,6.0,True,CPGE,ECG - Mathématiques approfondies + ESH
Lycée professionnel Saint-François d'Assise,Roubaix,59.0,True,Autre formation,Animation-gestion de projets dans le secteur sportif
Lycée professionnel Pierre-Joseph Laurent,Aniche,59.0,True,BTS,Service et prestation des secteurs sanitaire et social
Lycée Jean Moulin,Roubaix,59.0,True,BTS,Management opérationnel de la sécurité
Lycée Chaptal,Saint-Brieuc,22.0,True,BTS,"Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux"
Institut de formation des métiers de la rééducation Sud Alsace - formation en psychomotricité,Mulhouse,68.0,True,IFSI,D.E Psychomotricien
Lycée Saint-Anselme,Bernay,27.0,True,BTS,Service et prestation des secteurs sanitaire et social
Institut Supérieur Saint-Denis,Annonay,7.0,True,BTS,Services informatiques aux organisations
Lycée Eugene Freyssinet,Saint-Brieuc,22.0,True,BTS,Travaux publics
Maison familiale et rurale de Buxières-lès-Villiers,Buxières-lès-Villiers,52.0,True,BTS,Gestion et protection de la nature
Lycée Jean Chaptal,Quimper,29.0,True,BTS,Bioqualité
Lycée-Collège NOTRE-DAME,Guingamp,22.0,True,BTS,Management Commercial Opérationnel
Télécom Saint-Etienne,Saint-Etienne,42.0,True,Ecole d'Ingénieur,Bachelor en sciences et ingénierie communication globale et design digital
EPSI - Site d'ARRAS,Arras,62.0,True,BTS,Services informatiques aux organisations
Lycée Paul Langevin,Beauvais,60.0,True,BTS,"Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux"
Université Paris Cité,Paris  6e  Arrondissement,75.0,False,PASS,Santé des populations
Université Paris Cité,Paris  6e  Arrondissement,75.0,False,PASS,"Biologie, Physique, Chimie"
Université Paris Cité,Paris  6e  Arrondissement,75.0,False,PASS,Sport santé
Lycée Saint Paul,Besançon,25.0,True,BTS,Management économique de la construction
Université Paris Cité,Paris  6e  Arrondissement,75.0,False,PASS,Métiers du soin et du social
Université Paris Cité,Paris  6e  Arrondissement,75.0,False,PASS,Sciences psychologiques
I.U.T de Lannion,Lannion,22.0,True,BUT,Information communication Parcours communication des organisations
Lycée Pommerit Jaudy,La Roche-Jaudy,22.0,True,BTS,"QUalité, ALimentation, Innovation et Maîtrise Sanitaire (BioQUALIM) aliments et processus technologiques"
Lycée agricole St ILAN,Langueux,22.0,True,BTS,Aménagements paysagers
Lycée Raymond Naves,Toulouse,31.0,True,Autre formation,Services numériques aux organisations
Lycée professionnel Reffye,Tarbes,65.0,True,BTS,Métiers de l'esthétique-cosmétique-parfumerie
Facultés libres de l'ouest - UCO - Bretagne Nord,Guingamp,22.0,False,Licence,Psychologie
Institut national de podologie Grand Est,Strasbourg,67.0,True,IFSI,D.E Pédicure-Podologue
Lycée professionnel Henri Brulle,Libourne,33.0,True,Autre formation,Services numériques aux organisations
Lycée Des Metiers Du Batiment,Felletin,23.0,True,BTS,"Finitions, aménagement des bâtiments: conception et réalisation"
Lycée Des Metiers Du Batiment,Felletin,23.0,True,BTS,Bâtiment
Lycée professionnel Brise Lames,Martigues,13.0,True,BTS,Management en hôtellerie restauration
"TRAVELLING, École Supérieure du Cinéma et de la Télévision",Mauguio,34.0,True,BTS,Métiers de l'audio-visuel opt : métiers de l'image
"TRAVELLING, École Supérieure du Cinéma et de la Télévision",Mauguio,34.0,True,BTS,Métiers de l'audio-visuel opt : métiers du son
Lycée Agricole La Peyrouse,Coulounieix-Chamiers,24.0,True,BTS,"QUalité, ALimentation, Innovation et Maîtrise Sanitaire (BioQUALIM) aliments et processus technologiques"
Lycée Laure Gatet,Périgueux,24.0,True,BTS,Gestion de la PME
Lycée Albert Claveille,Périgueux,24.0,True,BTS,Motorisations toutes énergies
Lycée Albert Claveille,Périgueux,24.0,True,BTS,Maintenance des véhicules option voitures particulières
Lycée Jeanne D'Arc,Figeac,46.0,True,Autre formation,Animation-gestion de projets dans le secteur sportif
Lycée professionnel Chambre Com Et Industrie,Boulazac Isle Manoire,24.0,True,BTS,Management en hôtellerie restauration
Lycée professionnel de Faaa,Faaa,987.0,True,Autre formation,Services numériques aux organisations
ES Vichy,Vichy,3.0,True,BTS,Banque
I.U.T de Bordeaux - Site de Périgueux,Périgueux,24.0,True,BUT,Techniques de commercialisation
Lycée professionnel Nelson Mandela,Audincourt,25.0,True,BTS,Europlastics et composites à référentiel commun européen - option Pilotage et Optimisation de la production
Lycée Victor Hugo,Besançon,25.0,True,CPGE,BCPST
Lycée Louis Pergaud,Besançon,25.0,True,CPGE,ENS Cachan D2
Lycée Louis Pergaud,Besançon,25.0,True,BTS,Service et prestation des secteurs sanitaire et social
Lycée Louis Pergaud,Besançon,25.0,True,BTS,Comptabilité et gestion
Lycée Professionnel Agricole d'Horticulture et du Paysage La Mouillère,Orléans,45.0,True,BTS,Gestion et protection de la nature
Lycée Jules Haag,Besançon,25.0,True,BTS,Conception et Réalisation de Systèmes Automatiques
Lycée Joseph Savina,Tréguier,22.0,True,Autre formation,Spécialité : Hybridations des matières et des techniques appliquées au Design
Lycée polyvalent Germaine Tillion,Montbéliard,25.0,True,BTS,Métiers de l'audio-visuel opt : métiers du son
Lycée St Jean,Salon-de-Provence,13.0,True,BTS,Collaborateur juriste notarial
Lycée polyvalent Germaine Tillion,Montbéliard,25.0,True,BTS,Négociation et digitalisation de la Relation Client
Lycée Clement Ader,Tournan-en-Brie,77.0,True,BTS,Maintenance des systèmes - option A Systèmes de production
Lycée professionnel Boucher De Perthes,Abbeville,80.0,True,Autre formation,Animation-gestion de projets dans le secteur sportif
ESAIP Angers,Saint-Barthélemy-d'Anjou,49.0,True,Ecole d'Ingénieur,Bacs généraux - 2 Sciences
ESAIP Aix-en-Provence,Aix-en-Provence,13.0,True,Ecole d'Ingénieur,Bacs généraux - 2 Sciences
ESAIP Aix-en-Provence,Aix-en-Provence,13.0,True,Ecole d'Ingénieur,Bacs généraux - 1 Science
Université Toulouse 2 Jean Jaurès,Toulouse,31.0,False,Licence,Portugais (grands débutants)
Institution Notre-Dame Saint-Jean - LYCEE,Besançon,25.0,True,BTS,Comptabilité et gestion
ECOLE SUPERIEURE DES AGRICULTURES,Angers,49.0,True,Ecole d'Ingénieur,Campus d’Angers Bachelor Agronomie Environnement Alimentation
Université Paris Panthéon Assas,Paris  5e  Arrondissement,75.0,True,Licence,Droit et Histoire de l'Art
Sorbonne université,Paris  6e  Arrondissement,75.0,True,Licence,Double Licence - Sciences - Droit
ESAIP Angers,Saint-Barthélemy-d'Anjou,49.0,True,Ecole d'Ingénieur,ESAIP - Angers - Bachelor Ingénierie Informatique et Intelligence Artificielle
ISEP Paris,Paris  6e  Arrondissement,75.0,True,Ecole d'Ingénieur,ISEP Paris - Bachelor - Informatique et Projets Numériques
ESAIP Angers,Saint-Barthélemy-d'Anjou,49.0,True,Ecole d'Ingénieur,Bac Technologiques
Université de Poitiers,Poitiers,86.0,False,Licence,Géographie et aménagement
Institut National du Patrimoine (département des restaurateurs),Aubervilliers,93.0,True,Autre formation,spécialité Arts du feu (métal)
Institution Notre-Dame Saint-Jean - LYCEE,Besançon,25.0,True,Autre formation,Classe d'approfondissement en arts plastiques
Université Lyon 2 - Campus Porte des Alpes,Bron,69.0,False,Licence,Information et communication
Université Lyon 2 - Campus Porte des Alpes,Bron,69.0,False,Licence,Lettres modernes et appliquées
Université Lyon 2 - Campus Porte des Alpes,Bron,69.0,False,Licence,Lettres classiques
Université Lyon 2 - Campus Porte des Alpes,Bron,69.0,False,Licence,LEA Anglais Chinois
Université Lyon 2 - Campus Porte des Alpes,Bron,69.0,False,Licence,LEA Anglais allemand – langues renforcées
Université Lyon 2 - Campus Porte des Alpes,Bron,69.0,False,Licence,LEA Anglais Espagnol – Sciences du langage
Université Lyon 2 - Campus Porte des Alpes,Bron,69.0,False,Licence,LLCER Anglais – LLCER Espagnol
Université Lyon 2 - Campus Porte des Alpes,Bron,69.0,False,Licence,LLCER Anglais – LLCER Scandinave
Université Lyon 2 - Campus Porte des Alpes,Bron,69.0,False,Licence,LLCER Anglais – Science politique
Université Lyon 2 - Campus Porte des Alpes,Bron,69.0,False,Licence,LLCER Portugais – LLCER Espagnol
Université Lyon 2 - Campus Porte des Alpes,Bron,69.0,False,Licence,Sociologie – Psychologie
Université Lyon 2 - Campus Porte des Alpes,Bron,69.0,False,Licence,Sciences sociales – Géographie et aménagement
Université Lyon 2 - Campus Porte des Alpes,Bron,69.0,False,Licence,"Sciences de l’homme, anthropologie, ethnologie – Psychologie"
Université de Franche-Comté - Site de Besançon,Besançon,25.0,False,Licence,"Physique, chimie"
Université Lyon 2 - Campus Porte des Alpes,Bron,69.0,False,Licence,Sciences de l’éducation
Université Lyon 2 - Campus Porte des Alpes,Bron,69.0,False,Licence,MIASHS – Sciences du langage
Université Lyon 2 - Campus Porte des Alpes,Bron,69.0,False,Licence,Histoire de l’art et archéologie –  Lettres modernes et appliquées
Université Lumière - Lyon 2,Lyon 7e  Arrondissement,69.0,False,Licence,Economie et gestion - Droit
Université Lumière - Lyon 2,Lyon 7e  Arrondissement,69.0,False,Licence,Droit – Science politique
Université Lumière - Lyon 2,Lyon 7e  Arrondissement,69.0,False,Licence,Administration économique et sociale - LEA Anglais Portugais
Université de Caen Normandie,Caen,14.0,True,Autre formation,Diplôme universitaire - Passeport pour Réussir et s'Orienter (PARÉO)
Ecole Universitaire de premier cycle - Campus d'Orsay Université Paris-Saclay,Orsay,91.0,False,Licence_Las,Tronc Commun STAPS
Lycée Saint Thomas D'Aquin Veritas,Oullins,69.0,True,Ecole d'Ingénieur,Série générale
Université Lyon 2 - Campus Porte des Alpes,Bron,69.0,False,Licence,Lettres modernes et appliquées – Histoire de l’art et archéologie
Université Lyon 2 - Campus Porte des Alpes,Bron,69.0,False,Licence,Lettres modernes et appliquées
Université Lyon 2 - Campus Porte des Alpes,Bron,69.0,False,Licence,LEA Anglais Chinois – Administration économique et sociale
Université Lyon 2 - Campus Porte des Alpes,Bron,69.0,False,Licence,LLCER Allemand – LLCER Anglais
Université de Franche-Comté - Site de Besançon,Besançon,25.0,False,Licence,Musicologie
Université Lyon 2 - Campus Porte des Alpes,Bron,69.0,False,Licence,LLCER Espagnol – LLCER Anglais
Université Lyon 2 - Campus Porte des Alpes,Bron,69.0,False,Licence,"Sciences de l’homme, anthropologie, ethnologie – Information et communication"
Université Lyon 2 - Campus Porte des Alpes,Bron,69.0,False,Licence,MIASHS – Géographie et aménagement
Université Lumière - Lyon 2,Lyon 7e  Arrondissement,69.0,False,Licence,Economie et gestion - Administration économique et sociale
Université Lyon 2 - Campus Porte des Alpes,Bron,69.0,False,Licence,Informatique – Economie et gestion
Université Sorbonne Paris Nord,Villetaneuse,93.0,False,Licence,Anglais-espagnol
Université Grenoble Alpes,Saint-Martin-d'Hères,38.0,False,Licence_Las,Philosophie Grenoble
Université Lumière - Lyon 2,Lyon 7e  Arrondissement,69.0,False,Licence,Droit - Administration économique et sociale
Université de Rouen Normandie - Campus Mont-Saint-Aignan,Mont-Saint-Aignan,76.0,False,Licence,Sciences de l'éducation et de la formation
Université de Franche-Comté - Site de Besançon,Besançon,25.0,False,Licence,Italien
ISG Paris,Paris 16e  Arrondissement,75.0,True,Ecole de Commerce,Full English Track
Université de Franche-Comté - Site de Besançon,Besançon,25.0,False,Licence,Lettres modernes
Université de Bretagne Sud - Site de Lorient,Lorient,56.0,False,Licence,Histoire / Géographie
Université de Bretagne Sud - Site de Lorient,Lorient,56.0,False,Licence_Las,Histoire / Géographie
Université de Bretagne Sud - Site de Lorient,Lorient,56.0,False,Licence,Physique
Université de Bretagne Sud - Site de Lorient,Lorient,56.0,False,Licence,Mécanique / Génie civil
La Rochelle Université,La Rochelle,17.0,True,Licence,Double Licence Droit / LEA anglais-chinois
La Rochelle Université,La Rochelle,17.0,True,Licence,Double Licence Droit / LEA anglais-espagnol-portugais
Université de Rouen Normandie - Campus Mont-Saint-Aignan,Mont-Saint-Aignan,76.0,True,Licence,Histoire
Université Bordeaux Montaigne,Pessac,33.0,False,Licence,Licence 1 - Portugais trilangue
CNAM PARIS,Saint-Denis,93.0,True,Autre formation,Bachelor Entrepreneuriat dans les métiers d'art et du design
Université de Franche-Comté - Site de Besançon,Besançon,25.0,False,Licence,Histoire
Université Jean Monnet - Campus de Roanne,Roanne,42.0,False,Licence_Las,Administration économique et sociale
"Universite Jean Monnet, Saint-Etienne",Saint-Etienne,42.0,False,Licence,BGC
"Universite Jean Monnet, Saint-Etienne",Saint-Etienne,42.0,False,Licence,Chimie
"Universite Jean Monnet, Saint-Etienne",Saint-Etienne,42.0,False,Licence,Sciences de la vie
"Universite Jean Monnet, Saint-Etienne",Saint-Etienne,42.0,False,Licence,Mathématiques
"Universite Jean Monnet, Saint-Etienne",Saint-Etienne,42.0,False,Licence,Physique
"Universite Jean Monnet, Saint-Etienne",Saint-Etienne,42.0,False,Licence_Las,Sciences de la vie
Université de Franche-Comté - Site de Besançon,Besançon,25.0,False,Licence,Philosophie
Lycée agricole Besancon - Lycée Granvelle,Dannemarie-sur-Crète,25.0,True,BTS,"Analyse, conduite et stratégie de l'entreprise agricole"
Université Angers,Angers,49.0,False,Licence,Hospitalité
Université de Brest,Brest,29.0,False,Licence_Las,"MPMEI : Mathématiques, Physique, Mathématiques-Economie, Informatique"
Lycée Fenelon,Cambrai,59.0,True,Ecole d'Ingénieur,Formation d'ingénieur Bac + 5
Université Paris-Dauphine,Paris 16e  Arrondissement,75.0,True,Autre formation,Double licence Intelligence Artificielle et Sciences des Organisations
Université Angers,Angers,49.0,True,Licence,Mathématiques
Institut Catholique de Lille - Faculté des Lettres et Sciences Humaines,Lille,59.0,False,Licence,"Médias, Culture et Communication"
Lycée professionnel Delphine Gay,Bourganeuf,23.0,True,BTS,Métiers de l'esthétique-cosmétique-parfumerie
ANTENNE I.F.R.T.S AJACCIO,Ajaccio,,True,EFTS,D.E Educateur de Jeunes Enfants
Université Grenoble Alpes - Antenne de Valence,Valence,26.0,False,Licence,Portail Chimie - Biologie
Université Paul Valery - Montpellier 3,Montpellier,34.0,False,Licence,International
IUT de Nantes - Antenne de Châteaubriant,Châteaubriant,44.0,True,BUT,Gestion administrative et commerciale des organisations
Université Angers - Campus de Saumur,Saumur,49.0,False,Licence,Culture et patrimoine
Université Grenoble Alpes - Antenne de Valence,Valence,26.0,False,Licence,"Physique - Physique, Chimie, Mécanique, Mathématiques (PCMM)"
Lycée Horticole - Gaston Chaissac - Niort,Niort,79.0,True,BTS,"Métiers du Végétal : Alimentation, Ornement, Environnement"
Université de la Polynésie française,Faaa,987.0,False,Licence,Anglais
Université de la Polynésie française,Faaa,987.0,False,Licence,Langues polynésiennes
Université de la Polynésie française,Faaa,987.0,False,Licence,Anglais et espagnol
Université de Rennes (EPE),Rennes,35.0,False,Licence_Las,Philosophie
Université de Limoges,Limoges,87.0,False,Licence,Sciences de la vie et de la terre
Institut Catholique de Lyon,Lyon 2e  Arrondissement,69.0,False,Licence,Science politique – Géographie
IUT Nord Franche-Comté - Site de Montbéliard,Montbéliard,25.0,True,BUT,Mesures physiques
Institut Catholique de Lyon,Lyon 2e  Arrondissement,69.0,True,Autre formation,"DU PaRéo Se construire, s'orienter, se révéler"
Nantes Université,Nantes,44.0,False,Licence,Géosciences
Université de Caen Normandie,Caen,14.0,False,Licence,Humanités classiques
Université Toulouse 3 Paul Sabatier,Toulouse,31.0,True,Autre formation,R2D2 - Rebondir Réfléchir Découvrir Décider
IUT Nord Franche-Comté - Site de Montbéliard,Montbéliard,25.0,True,BUT,Gestion administrative et commerciale des organisations
Université Toulouse 3 Paul Sabatier,Toulouse,31.0,True,Autre formation,C.M.I - Cursus Master en Ingénierie-Mention EEA
ESA Angers (Angers-49),Angers,49.0,True,BTS,Technico-commercial - Spécialité univers jardins et animaux de compagnie
Université Paris- Est-Créteil Val de Marne - UPEC (Paris 12),Créteil,94.0,False,Licence,Préparatoire au Professorat des Ecoles (PPPE)
UniLaSalle Rouen,Mont-Saint-Aignan,76.0,True,Autre formation,Série Générale
Université de Bourgogne - site de Dijon,Dijon,21.0,False,PASS,Parcours d'Accès Spécifique Santé (PASS)
Lycée Dumont d'Urville,Toulon,83.0,True,CPGE,ECT - Option technologique
Lycée Voltaire,Paris 11e  Arrondissement,75.0,True,CPGE,B/L - Lettres et sciences sociales
Lycée Alain René Lesage,Vannes,56.0,True,CPGE,MP2I
Lycée Aliénor d' Aquitaine,Poitiers,86.0,True,CPGE,ECG - Mathématiques approfondies + ESH
Université Angers,Angers,49.0,True,Licence,Double licence Espagnol - Anglais
Sorbonne université,Paris  6e  Arrondissement,75.0,False,Licence,Préparatoire au Professorat des Ecoles (PPPE) - Anglais
EFREI Bordeaux,Bordeaux,33.0,True,Ecole de Commerce,Bachelor Marketing Digital et communication
EFREI Paris,Villejuif,94.0,True,Ecole d'Ingénieur,Bachelor Développeur web et application
EFREI Bordeaux,Bordeaux,33.0,True,Ecole d'Ingénieur,Bachelor Développeur web et application
EFREI Paris,Villejuif,94.0,True,Ecole de Commerce,Bachelor Business et nouvelles technologies
Lycée agricole KERLEBOST,Pontivy,56.0,True,BTS,Technico-commercial - Spécialité biens et services pour l'agriculture
Université Paris- Est-Créteil Val de Marne - UPEC (Paris 12),Créteil,94.0,True,Licence,Juriste International
Lycée agricole St ILAN,Langueux,22.0,True,BTS,Technico-commercial - Spécialité univers jardins et animaux de compagnie
IUT de Créteil Vitry (Site de Vitry) - UPEC,Vitry-sur-Seine,94.0,True,BUT,Informatique
Université de Rouen Normandie - Campus Pasteur Rouen,Rouen,76.0,True,Licence,Double licence - Economie - Mathématiques
I.U.T Jean Moulin de l'Université Lyon 3,Lyon 7e  Arrondissement,69.0,True,BUT,MACAST (Gestion des activités culturelles et artistiques)
Université Clermont Auvergne,Clermont-Ferrand,63.0,True,Licence,Etudes franco-portugaises
LEAP AGRICULTURE ET TERRITOIRE IS4A,Laxou,54.0,True,BTS,Technico-commercial - Spécialité biens et services pour l'agriculture
Lycée Geoffroy-St-Hilaire,Etampes,91.0,True,BTS,Professions immobilières
Lycée CAMILLE VERNET,Valence,26.0,True,CPGE,PCSI
Lycée Montalembert,Courbevoie,92.0,True,Autre formation,Diplôme de Comptabilité et de Gestion
Université de Brest,Brest,29.0,False,Licence,"BCG : Biologie, Chimie, Géologie"
UCLy Alpes-Europe,Annecy,74.0,True,Ecole de Commerce,Bachelor in Business + DU Outils Juridiques du Manager en partenariat avec la Faculté de Droit de l’Institut Catholique de Lyon
"Institut Catholique de Lille-Faculté de Gestion, Economie et Sciences",Lille,59.0,False,Licence,"Humanités-philosophie, éthique et religions"
Lycée Colbert,Paris 10e  Arrondissement,75.0,True,Autre formation,Classe préparatoire aux études supérieures - Arts
IFSI CFPBNA,Bordeaux,33.0,True,IFSI,D.E Infirmier
ESILV - Nantes,Nantes,44.0,True,Ecole d'Ingénieur,Bac série générale avec la spécialité Maths en Terminale + une spécialité scientifique
Lycée Francois Magendie,Bordeaux,33.0,True,Autre formation,Spécialité Eco-conception : matériaux durables et innovants
CY Cergy Paris Université - INSPÉ de l’académie de Versailles,Antony,92.0,False,Licence,Sciences et Médiation Scientifique
IFEPSA - Facultés libres de l'ouest - UCO,Les Ponts-de-Cé,49.0,True,Licence,STAPS ACCESS - option AAN
Lycée professionnel Corvisart-Arts Graphiques,Paris 13e  Arrondissement,75.0,True,Autre formation,Art de la dorure à chaud
Lycée Montplaisir,Valence,26.0,True,BTS,Comptabilité et gestion
ISIS - Partenaire INSA,Castres,81.0,True,Licence_Las,Cycle préparatoire intégré - Accès Santé
Université de Bretagne Sud - Site de Lorient,Lorient,56.0,False,Licence,Sciences écologie et société ou Sciences écologie et société option professorat des écoles
Université de Bretagne Sud - Site de Lorient,Lorient,56.0,False,Licence,"""Energie et environnement"" et ""Matériaux et transition écologique"""
Lycée Les Catalins,Montélimar,26.0,True,BTS,Maintenance des systèmes - option A Systèmes de production
Université Clermont Auvergne,Clermont-Ferrand,63.0,False,Licence,"mineure Sciences de l'Education - Réadaptation : accès Ergothérapie, Orthoptie et Masso-kinésithérapie"
Lycée Anna Rodier,Moulins,3.0,True,BTS,Economie sociale familiale
Lycée professionnel Les Huisselets,Montbéliard,25.0,True,BTS,Management opérationnel de la sécurité
Lycée Emmanuel Héré,Laxou,54.0,True,BTS,Etude et réalisation d'agencement
Lycée professionnel Jean Mace,Fameck,57.0,True,Autre formation,Services numériques aux organisations
LYCEE POLYVALENT SIMONE VEIL,Marseille 13e  Arrondissement,13.0,True,BTS,Analyses de biologie médicale
